epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.967,1.88653,2.68634,1.08604,0.1882,0.04854,0.01874,0.00854,1.69967,5.68484,0.66766,0.000658228,0.000658228,0.000658228
2,324.711,1.60158,1.45438,0.98779,0.1596,0.03641,0.01777,0.00995,1.67814,2.94973,0.66599,0.00131178,0.00131178,0.00131178
3,484.239,1.61791,1.28322,0.99171,0.17675,0.03155,0.01554,0.00736,1.86251,2.55595,0.68809,0.00195213,0.00195213,0.00195213
4,623.183,1.61677,1.1529,0.986,0.16176,0.04369,0.01989,0.00978,1.63009,2.35132,0.65897,0.0019406,0.0019406,0.0019406
5,773.869,1.53942,1.0103,0.95323,0.156,0.04369,0.02389,0.01102,1.71371,2.40753,0.65813,0.0019208,0.0019208,0.0019208
6,921.724,1.44066,0.9077,0.96105,0.30553,0.0801,0.04347,0.02427,1.51701,1.86328,0.64551,0.001901,0.001901,0.001901
7,1066.17,1.41117,0.87421,0.9315,0.27974,0.22087,0.08363,0.04467,1.33798,1.60335,0.60453,0.0018812,0.0018812,0.0018812
8,1159.42,1.34232,0.85455,0.92114,0.28945,0.25485,0.10422,0.06017,1.3003,1.55123,0.60331,0.0018614,0.0018614,0.0018614
9,1301.42,1.32012,0.82624,0.91924,0.26168,0.1432,0.05247,0.02444,1.44557,1.76672,0.62067,0.0018416,0.0018416,0.0018416
10,1407.12,1.32724,0.82106,0.94007,0.28724,0.27427,0.10842,0.06347,1.30985,1.51884,0.60556,0.0018218,0.0018218,0.0018218
11,1501.37,1.28033,0.79816,0.92233,0.29655,0.26942,0.0997,0.05375,1.36693,1.53377,0.59733,0.001802,0.001802,0.001802
12,1608.85,1.25918,0.77034,0.90003,0.31094,0.26699,0.10597,0.06256,1.27118,1.50816,0.59545,0.0017822,0.0017822,0.0017822
13,1690,1.24271,0.76037,0.91236,0.305,0.29369,0.11611,0.06025,1.28727,1.45383,0.5908,0.0017624,0.0017624,0.0017624
14,1771.39,1.25853,0.72519,0.90385,0.33893,0.29612,0.13575,0.0821,1.14016,1.33481,0.58857,0.0017426,0.0017426,0.0017426
15,1852.89,1.23997,0.72198,0.91585,0.38198,0.32282,0.16639,0.09667,1.36884,1.46713,0.60179,0.0017228,0.0017228,0.0017228
16,1930.15,1.22983,0.73188,0.9034,0.34981,0.31311,0.14788,0.09078,1.18456,1.37924,0.59152,0.001703,0.001703,0.001703
17,2011.39,1.23281,0.72605,0.89923,0.33633,0.28883,0.13636,0.09007,1.11828,1.30475,0.58278,0.0016832,0.0016832,0.0016832
18,2092.99,1.20462,0.68309,0.89807,0.34279,0.30825,0.13867,0.08558,1.17733,1.35008,0.58452,0.0016634,0.0016634,0.0016634
19,2165.96,1.19432,0.68531,0.88981,0.32734,0.32282,0.13983,0.07548,1.35575,1.41878,0.60053,0.0016436,0.0016436,0.0016436
20,2248.11,1.1841,0.67363,0.87834,0.34991,0.32767,0.1463,0.08818,1.20669,1.36515,0.57754,0.0016238,0.0016238,0.0016238
21,2325.87,1.20712,0.70726,0.88775,0.36688,0.33475,0.16021,0.09388,1.24651,1.33778,0.58934,0.001604,0.001604,0.001604
22,2399.29,1.16015,0.66856,0.88571,0.37064,0.34466,0.16543,0.10956,1.06359,1.25,0.57599,0.0015842,0.0015842,0.0015842
23,2477.98,1.14418,0.66679,0.88649,0.34196,0.31281,0.13624,0.08383,1.18198,1.34361,0.58531,0.0015644,0.0015644,0.0015644
24,2550.35,1.11931,0.65595,0.88058,0.3237,0.31553,0.13678,0.0792,1.27889,1.39583,0.58824,0.0015446,0.0015446,0.0015446
25,2631.49,1.08251,0.63804,0.88075,0.32384,0.31271,0.12922,0.08129,1.11401,1.26146,0.57992,0.0015248,0.0015248,0.0015248
26,2698.97,1.0802,0.62515,0.87259,0.40434,0.34951,0.19357,0.12219,1.12581,1.2279,0.57642,0.001505,0.001505,0.001505
27,2771.34,1.10706,0.63491,0.86947,0.418,0.3835,0.21699,0.13854,1.14792,1.21776,0.57572,0.0014852,0.0014852,0.0014852
28,2835.63,1.08786,0.62576,0.86763,0.42749,0.37864,0.21596,0.14431,1.10358,1.17878,0.5731,0.0014654,0.0014654,0.0014654
29,2903.4,1.06885,0.61748,0.86691,0.40639,0.35194,0.19223,0.11924,1.13437,1.25232,0.57703,0.0014456,0.0014456,0.0014456
30,2967.5,1.06738,0.61491,0.87208,0.42037,0.38107,0.21541,0.14172,1.05112,1.14622,0.57511,0.0014258,0.0014258,0.0014258
31,3035.78,1.08448,0.62568,0.86841,0.35274,0.33981,0.15404,0.08768,1.32375,1.40507,0.59453,0.001406,0.001406,0.001406
32,3109.19,1.06951,0.60918,0.86275,0.47488,0.41748,0.26055,0.1779,1.07951,1.17894,0.57047,0.0013862,0.0013862,0.0013862
33,3182.06,1.03892,0.6004,0.8683,0.47576,0.43932,0.27704,0.18759,1.09804,1.20534,0.56852,0.0013664,0.0013664,0.0013664
34,3248.13,1.03058,0.5901,0.86797,0.57201,0.5,0.37075,0.24589,1.12653,1.20132,0.57758,0.0013466,0.0013466,0.0013466
35,3311.36,1.02197,0.58813,0.85111,0.49944,0.44903,0.31364,0.21363,1.12098,1.18913,0.57292,0.0013268,0.0013268,0.0013268
36,3381.37,1.04429,0.59928,0.86476,0.40879,0.37136,0.18903,0.11371,1.20297,1.1959,0.57517,0.001307,0.001307,0.001307
37,3448.28,1.04328,0.58673,0.86231,0.49766,0.44244,0.31518,0.20089,1.18342,1.19442,0.56936,0.0012872,0.0012872,0.0012872
38,3517.89,0.98399,0.55284,0.8622,0.49179,0.43689,0.28733,0.18712,1.15285,1.14077,0.57219,0.0012674,0.0012674,0.0012674
39,3584.16,0.98808,0.55879,0.85403,0.56043,0.49272,0.36455,0.25842,1.00208,1.06118,0.56723,0.0012476,0.0012476,0.0012476
40,3669.52,1.00975,0.57032,0.85166,0.38208,0.34223,0.16232,0.10122,1.135,1.18332,0.57511,0.0012278,0.0012278,0.0012278
41,3737.24,1.02566,0.56542,0.85103,0.54155,0.46602,0.32788,0.22844,1.07719,1.13015,0.56832,0.001208,0.001208,0.001208
42,3809.59,1.00861,0.56247,0.85323,0.55249,0.47646,0.33971,0.23474,1.03867,1.07725,0.5701,0.0011882,0.0011882,0.0011882
43,3878.95,1.0003,0.55936,0.85505,0.47725,0.43204,0.27075,0.18677,1.04085,1.08304,0.57291,0.0011684,0.0011684,0.0011684
44,3946.42,0.9955,0.54212,0.85516,0.57686,0.50971,0.4001,0.26558,1.15909,1.18967,0.57326,0.0011486,0.0011486,0.0011486
45,4008.42,0.98464,0.54177,0.84994,0.53017,0.49029,0.34559,0.22834,1.07582,1.09436,0.56844,0.0011288,0.0011288,0.0011288
46,4072.62,0.93748,0.52952,0.84879,0.53921,0.44903,0.32299,0.22615,1.01745,1.09207,0.56114,0.001109,0.001109,0.001109
47,4138.7,0.95207,0.53444,0.84887,0.52152,0.46117,0.30684,0.21127,1.01972,1.09034,0.56497,0.0010892,0.0010892,0.0010892
48,4207.48,0.98075,0.53646,0.85304,0.56764,0.52427,0.37404,0.2427,1.10573,1.11773,0.57127,0.0010694,0.0010694,0.0010694
